Id,Date,Open,High,Low,Close,Indices
1,28-Nov-22,106,106.4,104.5,104.9, TATASTEEL
2,29-Nov-22,105,107.65,104.95,106.1, TATASTEEL
3,30-Nov-22,106.1,107.95,105.9,107.65, TATASTEEL
4,01-Dec-22,108.7,111.3,108,110.75, TATASTEEL
5,02-Dec-22,110.8,112.5,110.15,112, TATASTEEL
6,05-Dec-22,113.3,116.1,112.65,115.85, TATASTEEL
7,06-Dec-22,115.35,115.35,112.25,112.95, TATASTEEL
8,07-Dec-22,113.4,113.5,110.85,111.2, TATASTEEL
9,08-Dec-22,111.75,113,110.8,111.85, TATASTEEL
10,09-Dec-22,112.8,113.75,109.7,110.45, TATASTEEL
11,12-Dec-22,110.2,112.1,108.7,111.7, TATASTEEL
12,13-Dec-22,112.55,112.85,110.8,111.2, TATASTEEL
13,14-Dec-22,111.6,113.2,111.1,113.05, TATASTEEL
14,15-Dec-22,112.65,113.45,110.7,110.95, TATASTEEL
15,16-Dec-22,110.35,112.1,109.45,111.05, TATASTEEL
16,19-Dec-22,111.05,112.1,110.8,111.8, TATASTEEL
17,20-Dec-22,111.15,111.5,109,110.95, TATASTEEL
18,21-Dec-22,111.8,112,108.7,109.4, TATASTEEL
19,22-Dec-22,110,110.6,106.35,107.65, TATASTEEL
20,23-Dec-22,106,106.75,101.95,102.25, TATASTEEL
21,26-Dec-22,102.8,105.55,101.65,105, TATASTEEL
22,27-Dec-22,106.65,111.55,105.85,111.15, TATASTEEL
23,28-Dec-22,111.05,112.3,109.7,110, TATASTEEL
24,29-Dec-22,109,112,108.85,111.75, TATASTEEL
25,30-Dec-22,112.9,114.75,112.1,112.65, TATASTEEL
26,02-Jan-23,114.4,119.7,113.75,119.25, TATASTEEL
27,03-Jan-23,119.8,120.5,117.75,118.45, TATASTEEL
28,04-Jan-23,118.75,119.05,115.35,115.75, TATASTEEL
29,05-Jan-23,116.5,117,114.5,116.55, TATASTEEL
30,06-Jan-23,117,117.85,115.25,115.65, TATASTEEL
31,09-Jan-23,116.9,118.1,116.55,117.55, TATASTEEL
32,10-Jan-23,117.65,119.75,117.55,118.85, TATASTEEL
33,11-Jan-23,119.45,120.35,118,118.85, TATASTEEL
34,12-Jan-23,118.95,119.25,117.6,118.1, TATASTEEL
35,13-Jan-23,118.55,121.6,118.15,120.45, TATASTEEL
36,16-Jan-23,121.45,121.45,118.8,119.95, TATASTEEL
37,17-Jan-23,119.75,119.9,118,119.35, TATASTEEL
38,18-Jan-23,120,123,120,122.45, TATASTEEL
39,19-Jan-23,121.8,124.3,121.15,123.55, TATASTEEL
40,20-Jan-23,123.4,124.2,122,122.95, TATASTEEL
41,23-Jan-23,123.4,123.85,121.5,122, TATASTEEL
42,24-Jan-23,122.5,122.55,120.1,120.4, TATASTEEL
43,25-Jan-23,120.35,122.25,120.1,121, TATASTEEL
44,27-Jan-23,121.9,123.25,119.1,120.65, TATASTEEL
45,30-Jan-23,120.45,121.1,116.9,118.75, TATASTEEL
46,31-Jan-23,118.75,120.45,117.75,119.7, TATASTEEL
47,01-Feb-23,120.1,124.15,119.3,122.05, TATASTEEL
48,02-Feb-23,121.95,122.5,118.4,119.95, TATASTEEL
49,03-Feb-23,120.05,121,117.2,120.35, TATASTEEL
50,06-Feb-23,120,120,117,117.45, TATASTEEL
51,07-Feb-23,112.6,115.35,110.55,111.45, TATASTEEL
52,08-Feb-23,111.45,112.75,110.1,111.45, TATASTEEL
53,09-Feb-23,112.15,112.95,109.95,111.25, TATASTEEL
54,10-Feb-23,111,111.25,108.3,108.8, TATASTEEL
55,13-Feb-23,108.8,110.6,108.4,108.75, TATASTEEL
56,14-Feb-23,109.55,109.9,108.25,109.25, TATASTEEL
57,15-Feb-23,109,110.6,108.8,110.3, TATASTEEL
58,16-Feb-23,111,112.2,110.65,112, TATASTEEL
59,17-Feb-23,111.55,113.1,111.3,112.25, TATASTEEL
60,20-Feb-23,112.3,112.7,111.05,112.35, TATASTEEL
61,21-Feb-23,112.9,114.2,112.75,113.15, TATASTEEL
62,22-Feb-23,113.25,113.7,110.65,111.15, TATASTEEL
63,23-Feb-23,111.55,113.65,111.35,112.05, TATASTEEL
64,24-Feb-23,112.5,112.9,109.55,109.75, TATASTEEL
65,27-Feb-23,109.8,110.05,105.15,106.1, TATASTEEL
