date,open,high,low,close,volume,Name
27-02-2012,4254.05,4254.05,4087.85,4100.6,44715101,25911200000
28-02-2012,4131.05,4258.4,4126.7,4227.3,42321186,28654500000
29-02-2012,4263.1,4299.35,4181.45,4203.45,46780535,29741300000
01-03-2012,4192.7,4194.4,4113.3,4162.6,39224651,21690900000
02-03-2012,4184.95,4254.45,4127.05,4207.4,34407655,22960100000
03-03-2012,4208.2,4223.45,4204.4,4209.45,1990162,1231600000
05-03-2012,4191.55,4191.55,4103.65,4109.9,36504146,19562500000
06-03-2012,4097.65,4204.8,4052.6,4064.1,55509824,33844600000
07-03-2012,4052.55,4102.15,4026.05,4089.2,43094805,24116800000
09-03-2012,4151.8,4258.35,4151.8,4248.1,39412114,23850800000
12-03-2012,4346.35,4346.95,4260.75,4279.9,39324879,25260600000
13-03-2012,4311.8,4342.95,4311.5,4317.15,32476862,17340000000
14-03-2012,4372.2,4376.95,4330.3,4368.85,42515022,25528500000
15-03-2012,4367.9,4367.9,4238.7,4249.7,37056953,21889400000
16-03-2012,4255.8,4349.3,4184.45,4201.75,48294305,29386000000
19-03-2012,4219.85,4219.85,4101.8,4115.55,34625176,19467300000
20-03-2012,4114.65,4175.4,4098.75,4151.4,35417325,19087100000
21-03-2012,4137,4262,4133.15,4249.15,38696032,20961600000
22-03-2012,4245.7,4267.65,4103.3,4120.75,40555715,24057200000
23-03-2012,4151.4,4201.25,4106.4,4160.95,38939223,21759100000
26-03-2012,4148.3,4148.3,4050.6,4062.1,34938374,18472200000
27-03-2012,4114.1,4152.8,4057.4,4117.15,44999697,28471000000
28-03-2012,4102.25,4102.25,4028.1,4047.35,45642982,23623200000
29-03-2012,4003.8,4063.95,4001.75,4046,61847595,33206500000
30-03-2012,4070.1,4157.1,4070.1,4143.75,43033187,22740800000
02-04-2012,4135.6,4198.35,4131.7,4191.45,26694976,15492400000
03-04-2012,4221,4266.95,4219.95,4244.4,31818586,18195200000
04-04-2012,4212.45,4216.75,4180.5,4207.2,20783557,12160400000
09-04-2012,4171.3,4171.3,4106.6,4113.8,18775927,11077900000
10-04-2012,4128.9,4148.25,4100.55,4142.65,31882479,16097400000
11-04-2012,4110.3,4181.85,4094.65,4151.15,40399473,21825700000
12-04-2012,4165.6,4226.85,4165.6,4213.25,34788320,20543100000
13-04-2012,4240.7,4279.15,4152.5,4182.2,32877560,20982400000
16-04-2012,4170.35,4218.65,4166.6,4213.65,27334154,16354000000
17-04-2012,4236.35,4284.5,4162.65,4255.85,49442147,32930400000
18-04-2012,4284.05,4305.6,4238,4248,33181476,17317800000
19-04-2012,4262.75,4292.6,4230.5,4282.6,26618000,15624600000
20-04-2012,4267.25,4282,4200.35,4233.55,28230833,15530300000
23-04-2012,4227.4,4260.2,4155.2,4167.2,28965802,15842600000
24-04-2012,4178.75,4185.05,4136.4,4155.35,27637348,15483100000
25-04-2012,4160.55,4175.35,4089.65,4126.85,34947158,19991200000
26-04-2012,4135.05,4138.4,4095.9,4107.2,37647693,18259200000
27-04-2012,4112.55,4153.65,4077,4120.05,43979651,27198400000
28-04-2012,4140.6,4151.65,4128,4143.1,2394392,1550400000
30-04-2012,4137.75,4193.15,4137.75,4154.15,27571898,15538800000
02-05-2012,4158.85,4193.15,4152.9,4163.6,26924908,14080700000
03-05-2012,4136,4145.1,4093.3,4100.4,30631138,19043900000
04-05-2012,4077.45,4082.3,3970.1,3986.6,37005162,21008600000
07-05-2012,3924.1,4029.95,3875,4016.45,47399024,25539800000
08-05-2012,4033,4039.8,3893.4,3915.85,38558814,20459600000
09-05-2012,3885.25,3916,3838.4,3861.4,45338412,23246300000
10-05-2012,3869.05,3936.05,3843,3860.55,43246691,21850700000
11-05-2012,3837.65,3897.95,3822.7,3847.25,32175220,17757700000
14-05-2012,3854.1,3887.3,3773.2,3804.95,36440761,18802900000
15-05-2012,3778.3,3847.75,3776.6,3827.3,37040963,16995700000
16-05-2012,3771.85,3771.85,3698.65,3742.6,41797297,22475800000
17-05-2012,3761.55,3812.95,3745.35,3759.7,34362469,18277600000
18-05-2012,3700.5,3828.35,3695.3,3808,39794891,30840100000
21-05-2012,3810.45,3882.3,3810.45,3847.25,32079250,19017200000
22-05-2012,3888.75,3902.05,3793.55,3800.5,37450604,21560300000
23-05-2012,3784.75,3803.65,3753.4,3775.1,32227774,18019100000
24-05-2012,3806.35,3896.1,3792.15,3884.55,36128071,19956400000
25-05-2012,3874.75,3894.8,3852.55,3880.85,27467419,16671500000
28-05-2012,3889.9,3968.8,3889.9,3964.8,24146888,16683400000
29-05-2012,3978,3989.75,3951.4,3959.6,25010314,19213000000
30-05-2012,3933.8,3934.65,3892.8,3900.55,25361279,15928900000
31-05-2012,3852.95,3880.75,3830.7,3869.1,51935215,28745100000
