date,open,high,low,close,volume,Name
25-08-2003,13933.45,14193.35,13142.6,13522.95,30749892,10361800000
26-08-2003,13527.65,14105.6,13527.65,13997.35,28272824,7877200000
27-08-2003,14156.95,14593.95,14156.95,14527.3,30199773,9592900000
28-08-2003,14623.9,15151.7,14623.9,15049.2,56136692,15647300000
29-08-2003,15071.2,15546.55,14932.6,15056.3,47927044,13498800000
01-09-2003,15057.85,15360.1,15050.75,15283.95,25717280,7644900000
02-09-2003,15311.9,15601.1,15187.25,15544.3,39769777,11749600000
03-09-2003,15779.9,15901.8,15171.8,15275.3,40565711,12346500000
04-09-2003,15340.2,16467.5,15340.2,16358.25,44656809,19320700000
05-09-2003,16436.25,16778.1,16371.15,16712.6,44867799,14781600000
08-09-2003,16755.55,17102.8,16755.55,17022.7,37013436,12315600000
09-09-2003,17074.45,17617.1,17074.45,17313.65,64786564,20476400000
10-09-2003,17315.75,17345.05,16690.55,16998.8,55718502,14731600000
11-09-2003,16842,16910.95,16552.8,16638.5,36926786,11350600000
12-09-2003,16767.8,16968.3,16140.2,16264.6,42485456,13691800000
15-09-2003,16189.05,16236.35,15317.3,15412.8,37644100,11651700000
16-09-2003,15342.55,16323.85,15261.15,16240.75,39124849,12493900000
17-09-2003,16614.35,16847.3,16272.35,16414.05,36045859,13297700000
18-09-2003,16426.75,16432.85,15789.4,15868,38506904,12873800000
19-09-2003,16032.5,16296.55,15679.2,16144.95,34443376,11474400000
22-09-2003,16248.2,16367.8,16043.15,16100,23958048,9618200000
23-09-2003,16039.6,16197.15,15775.5,16138.25,32536805,11152100000
24-09-2003,16206.05,16838.35,16200.15,16791.35,44259286,14580500000
25-09-2003,16689.2,16804.85,16464.15,16664.25,39787470,13869100000
26-09-2003,16635.05,17239.7,16604,17198.45,37599180,13940200000
29-09-2003,17177.3,17380.4,17042.95,17107.1,31993184,12122600000
30-09-2003,17204.7,17392.1,17143.25,17315.55,30161501,11045100000
01-10-2003,17186.65,17570.2,17092.75,17357.4,31140031,12106900000
03-10-2003,17384.25,17629.65,17142.4,17195.9,34431087,12990000000
06-10-2003,16302,17522.9,16302,17393.45,30781679,11100100000
07-10-2003,17406.15,17614.5,17135.15,17200.1,28162710,10316200000
08-10-2003,17223.1,17337.5,16693.6,16957.5,29396167,12482200000
09-10-2003,17042.75,17388.85,17037.2,17236.5,22781293,10338900000
10-10-2003,17521.85,18319.85,17446.8,18231,47779106,19797200000
13-10-2003,18354,18837.45,18354,18646.95,36052130,14352900000
14-10-2003,18778.9,18902,18286.45,18378.25,39543025,14735600000
15-10-2003,18346.5,18551.9,18001.5,18425.85,27996181,11177700000
16-10-2003,18489.3,18674.05,18265.35,18405.8,19385020,8540200000
17-10-2003,18629.95,18969.4,18494.6,18926.8,37368078,15448600000
20-10-2003,18929.1,18952.7,18326.65,18436.95,27979753,11231100000
21-10-2003,18658.25,18658.25,17759.8,17863.9,26534867,10778900000
22-10-2003,17872.8,18027.8,17305.2,17434.2,27327194,11308300000
23-10-2003,17471.4,17554.1,17006.1,17069.85,31624421,11562300000
24-10-2003,17098.95,17854.85,17086.75,17775.85,34778540,12292400000
25-10-2003,17999.9,18116.65,17826.75,17861.7,8428644,2856100000
27-10-2003,17853.5,17853.5,17194.3,17235,23558885,8156100000
28-10-2003,17347.95,17588.1,17212.9,17382.15,26925190,10486800000
29-10-2003,17431.9,17697.35,17412.05,17617.65,20785686,8180500000
30-10-2003,17686.55,17861.3,17589.35,17672.9,25021154,9729300000
31-10-2003,17589.2,18602.65,17584.3,18550.6,34446686,12595500000
03-11-2003,18566.45,19615.1,18566.45,19497.9,35063206,13872000000
04-11-2003,19796.2,20213.45,19727.2,19870.3,46218497,17959500000
05-11-2003,19898.5,19916.85,19471.45,19770,41666604,14166300000
06-11-2003,19769.35,20358.1,19769.35,20153.8,43619161,16573800000
07-11-2003,20147.1,20413.65,19605.95,19742.95,32706638,11720800000
10-11-2003,19760.7,19760.7,19182.85,19639.1,15199921,5747500000
11-11-2003,19638.2,19840.35,19394.4,19639.75,32866836,11834800000
12-11-2003,19653.65,20025.9,19576.35,19814.35,33882274,12943000000
13-11-2003,19899.35,20138.2,19123.2,19310.15,38268197,14498800000
14-11-2003,19299.2,19410.7,18882.5,18970.3,31664669,11999300000
15-11-2003,18981.4,19120.35,18765.75,18966.1,9938887,3438100000
17-11-2003,19132.7,19338.55,18896.1,19225.55,23647548,9160900000
18-11-2003,19218.35,19499.3,18917.35,19041.35,29200186,11821100000
19-11-2003,18924.6,19335.55,18791.2,19149.3,41485237,15741000000
20-11-2003,19356.85,19505.6,18914.1,18991,34713399,12415900000
21-11-2003,18968.35,19465.7,18924.15,19356.55,33216250,12158600000
24-11-2003,19448.3,19574.25,19163.55,19456.9,29699382,11023300000
25-11-2003,19720.7,19838.5,19688.2,19802.35,30101930,11689500000
27-11-2003,19861.6,20552.35,19861.6,20459.05,35523618,14959900000
28-11-2003,20461.15,20742.65,20422.85,20644.8,29455612,10933100000
01-12-2003,20767.55,21815.5,20767.55,21706.6,34434423,14284300000
02-12-2003,21785.5,22023.3,21172.7,21449.25,44793771,16779600000
03-12-2003,21461.85,21563.05,21291.35,21467.6,33028802,11712400000
04-12-2003,21475.9,21591.95,21136.6,21407.8,33882957,12295400000
05-12-2003,21420.8,21455.2,20640.9,20708.55,32129736,11086700000
08-12-2003,20648.15,20884.6,20480.6,20791,36267507,13328800000
09-12-2003,20886,21244.15,20886,21211.85,36244771,10624000000
10-12-2003,21215.2,21494.5,21002.05,21350.85,34032380,11651300000
11-12-2003,21450.1,21685.95,21327,21620.1,30433124,10698800000
12-12-2003,21756.65,21868.6,21510,21698.75,31405829,11239000000
15-12-2003,21857.8,22359.45,21857.8,22287.75,29388110,10316200000
16-12-2003,22241.3,22500.4,21912.3,22405,32652649,13692700000
17-12-2003,22022.8,22319.1,22022.8,22178.65,33134977,12489600000
18-12-2003,22218.3,22486.75,22186.95,22381.6,21164129,8809700000
19-12-2003,22430.75,22833.15,22430.75,22645.75,24653716,10795700000
22-12-2003,22635.45,22749.15,22487.95,22693.55,19433376,8065700000
23-12-2003,22706,22896.1,22588.8,22652.05,24919710,10549100000
24-12-2003,22673.75,23054.05,22530.5,22965.4,28364020,10265900000
26-12-2003,22967.2,23137.15,22890.35,22992.5,19822512,7499500000
29-12-2003,23026.7,23679.8,23026.7,23615.7,24829973,9895300000
30-12-2003,23645.9,24164.05,23379.85,23562.3,28457602,11259500000
31-12-2003,23550.15,23802.55,23406.75,23542.25,23279330,8957000000
01-01-2004,23625.35,23996.05,23625.35,23911.9,20575686,7284100000
02-01-2004,23929.55,24168.15,23868.8,23987.2,36724504,10281300000
05-01-2004,24039.8,24365.35,23928.15,24234.3,29405274,10810600000
06-01-2004,24254.75,24627.85,23183.65,23491.7,37625879,14155400000
07-01-2004,23570.25,23682.05,23040.95,23357.4,34013887,13725600000
08-01-2004,23442.3,24281.35,23442.3,24157.45,39022210,15131100000
09-01-2004,24758.6,25317.6,23970.7,24226.65,42337671,17841200000
12-01-2004,24571.15,24571.15,23571.95,23819.6,29763745,11050200000
13-01-2004,23765.25,24071.95,23582.7,23962.1,25974391,10183200000
14-01-2004,23990.35,24273.1,23904.6,23966.95,24903695,9733600000
15-01-2004,23955.5,24104.2,23132.3,23296.1,33949832,12768700000
16-01-2004,23217.55,23263.25,22555.95,22874.35,34158799,12314000000
19-01-2004,22971.75,23319.35,22631.1,23195.8,27418141,10557300000
20-01-2004,23265.4,23572.25,22587.95,22795.95,27232427,10050100000
21-01-2004,22972.4,23251.8,21883.95,22123.75,39057236,14176400000
22-01-2004,22156.7,22805.45,21345.95,21612.05,44297767,16945300000
23-01-2004,21748.1,22959.25,21748.1,22838.05,30895749,11860200000
27-01-2004,23113.7,23257.3,22283.55,23135.15,30985836,11490300000
28-01-2004,23126.3,23126.3,22059.65,22391.3,32947716,11641200000
29-01-2004,22461.95,22461.95,21503.25,21759.5,32240160,12940200000
30-01-2004,21790.05,21916.05,21279.35,21370.45,24057709,8821800000
03-02-2004,21415.45,21551.6,20720.55,20836.1,28237111,10700100000
04-02-2004,20840.65,21308.65,20731.95,21241.05,33836129,11316100000
05-02-2004,21230.4,21740.2,20983.05,21239.4,38255087,14116900000
06-02-2004,21204.25,21749.7,21204.25,21700.9,24309441,9926300000
09-02-2004,21845.45,22445.2,21845.45,22330.65,20429598,8420000000
10-02-2004,22388.05,22417.05,21833.65,22017.15,31199495,11075400000
11-02-2004,21985.4,22303.8,21966.15,22107.2,23173086,8540900000
12-02-2004,22175.65,22312.95,21635.55,21786.25,25792558,11996300000
13-02-2004,21797.25,22186.45,21759.95,22150,18515388,8753200000
16-02-2004,22167.9,22365.9,22080.4,22126.3,20941377,7831600000
17-02-2004,22127.55,22238.4,21949.45,22192.95,16951599,6768900000
18-02-2004,22340.25,22457.6,21935.9,22002.15,20188991,7897900000
19-02-2004,22017.55,22017.55,20905.25,21003.35,29658817,11752200000
20-02-2004,20934.65,21264.65,20485.85,20875.25,36612235,14540100000
23-02-2004,20898.85,21085.85,20443.55,20532.65,24555262,8979900000
24-02-2004,20479.55,20545,19916.4,20446.6,31642416,11847100000
25-02-2004,21229.1,21229.1,20113,20225.35,23416552,8768200000
26-02-2004,20282.35,20577.2,19799.85,19920.55,25929700,10705600000
27-02-2004,19936.15,20727.1,19923.65,20599.2,30051379,11209300000
01-03-2004,20734.6,21267.65,20717.9,21225.5,22122021,9367700000
03-03-2004,21229.95,21243.4,20860.55,21072.8,26105344,9483200000
04-03-2004,21113.45,21492.25,21045.5,21221.25,28548181,11011900000
05-03-2004,21249.15,21349.85,20956.45,21085.1,20839165,7744100000
08-03-2004,21080.45,21127.55,20571.7,20627.9,19218722,7503300000
09-03-2004,20606.25,20606.25,19897.5,20320.55,23531484,10579600000
10-03-2004,20187.6,20422.2,19964.8,20282.2,21493080,9324900000
11-03-2004,20038.05,20271,19938.1,19999.05,18313210,7411800000
12-03-2004,20033.45,20664.1,19857.35,20520.8,19235966,9556700000
15-03-2004,20558.2,20924.7,19850.85,20034.3,23693567,9602100000
16-03-2004,19866.25,20214.95,19694.2,20124.75,28405738,10239600000
17-03-2004,20187.25,20406.5,20141.4,20307,20446580,8576400000
18-03-2004,20326.55,20429.05,19718.25,19810.9,18110518,6861000000
19-03-2004,19795.5,20473.35,19795.5,20294.25,20810731,9561600000
22-03-2004,20313.3,20313.3,19520.3,19597.9,22270858,7466300000
23-03-2004,19503.75,20039.1,19228.4,19816.4,22704901,8071700000
24-03-2004,19781.05,19811.45,19363.75,19556.25,23973465,8578700000
25-03-2004,19570.7,20076.25,19535.2,19807.35,25491090,8909100000
26-03-2004,19892.65,20501.3,19892.65,20401.4,25238490,9103500000
29-03-2004,20396.95,20465.75,19989.2,20177.1,14668825,5651900000
30-03-2004,20199.8,20413.55,19624.45,19694.55,21088513,8258600000
31-03-2004,19667.3,19791.55,19245.15,19372.9,24448292,10130600000
01-04-2004,19386.95,19937.55,19386.95,19824.35,17703670,7187900000
02-04-2004,19800.9,19932.75,19533.5,19665.45,20796118,8711300000
05-04-2004,19667.85,20428.85,19667.85,20247.2,16875261,7316700000
06-04-2004,21208.75,21208.75,20338.9,20492.1,23903788,12024100000
07-04-2004,20474.9,20668.8,20312.4,20580.9,14887702,6399200000
08-04-2004,21018.95,21018.95,20689.7,20737.4,14791620,6966200000
12-04-2004,20795.7,20915.75,20336.15,20470.2,20006219,8862000000
13-04-2004,20743.95,22019.85,20743.95,21923.6,30526346,15996400000
15-04-2004,22119.45,22119.45,21573.95,21685.25,25361788,14012800000
16-04-2004,21943.6,22119.05,21863.6,21929.9,20508157,10307500000
17-04-2004,21989.3,22005.35,21819.25,21859.4,3951843,1812700000
19-04-2004,21869.1,21869.1,21362.05,21522.9,13041694,6243800000
20-04-2004,21570.55,21747.2,21533.25,21631.5,13735432,5969600000
21-04-2004,21547.75,21794.5,21409.65,21702.85,13643829,6154500000
22-04-2004,21717.8,21832,21639.45,21684.7,12883332,5210100000
23-04-2004,21588.75,21843.75,21475.95,21533.7,17183902,7898500000
27-04-2004,21475.15,21475.15,20721,20808.75,12228143,6255900000
28-04-2004,20809.05,20954.45,20528.65,20596.7,11998316,5894700000
29-04-2004,20591.25,20751.55,20403.4,20521.3,15316463,7790600000
30-04-2004,20403.75,20888.5,20403.75,20687,11105022,5978900000
03-05-2004,20832,20832,20350.45,20606.1,14162302,5599000000
04-05-2004,20649.7,21042.1,20649.7,20998.7,11578366,4913800000
05-05-2004,21000.15,21275.25,21000.15,21180.45,8554015,4307500000
06-05-2004,21252.55,21403.9,21167.3,21238.35,9881651,4081100000
07-05-2004,21241.85,21241.85,20736.7,20788.2,8856398,3400900000
10-05-2004,20770.65,20770.65,20280.65,20384.6,10862782,4147100000
11-05-2004,20351,20351,19878.35,19977.8,13160651,5735000000
12-05-2004,19995.35,20333.55,19977.15,20199.25,12445277,5385000000
13-05-2004,20211.55,21080.45,19397.85,20778.75,14753506,7111100000
14-05-2004,20784.4,21071.1,20112.35,20258.05,16481048,7411000000
17-05-2004,20207.15,20207.15,17171.2,17539.85,10397247,5069300000
18-05-2004,17571.8,20073.1,17571.8,19749.9,14121120,7694100000
19-05-2004,19820.05,20288.65,19640.45,19996.75,13211226,5275700000
20-05-2004,20002.35,20723.05,19715.85,19768.95,9325567,3909600000
21-05-2004,19762.45,19951,19379.5,19872.9,9907946,4427700000
24-05-2004,19894.1,21504.15,19877.75,21425.8,28499994,10464000000
25-05-2004,21417.95,21636.65,20768.65,21401.6,27281788,10378000000
26-05-2004,21469.3,21599.35,21111.6,21241.5,26092616,8716100000
27-05-2004,21179.7,21478.45,20982.85,21264.15,19057798,7127200000
28-05-2004,2132.05,2139.4,1989.1,2011.25,23107129,9666900000
31-05-2004,2008.15,2063.5,1955.7,2042.15,19856666,8208600000
01-06-2004,2044.75,2089.95,2044.75,2061.05,14799098,6501600000
02-06-2004,2062.15,2083.45,2048.65,2076,9893839,4322300000
03-06-2004,2091.05,2100.5,2003.5,2012.8,15181568,6825400000
04-06-2004,2013.1,2042.6,1985.65,2033.85,18849562,6953400000
07-06-2004,2066.5,2067.8,2017.9,2035.75,15604799,6106900000
08-06-2004,2058.45,2060.2,2014.05,2028.5,20123156,8409300000
09-06-2004,2027.65,2047.05,2021.05,2031.8,17354133,6047600000
10-06-2004,2031.05,2066.2,2022.45,2060.6,18564042,5994600000
11-06-2004,2061.85,2064.85,2001.6,2008.1,21309039,7333700000
14-06-2004,2007.45,2013.65,1950.5,1955.6,16091303,5878700000
15-06-2004,1955.9,2003.2,1952.05,1992.35,16535947,6207900000
16-06-2004,1994.25,2016.9,1988.4,1999.95,15466332,5637000000
17-06-2004,1999.9,2026.35,1989.55,2020.1,13403749,4910100000
18-06-2004,2025.1,2046.7,2004.15,2028.3,17490484,7262800000
21-06-2004,2032.05,2067.7,2031.15,2059.35,15116109,6812700000
22-06-2004,2063.6,2065.05,2041.35,2061.8,14046396,5882900000
23-06-2004,2060.25,2080.6,2028.2,2036.15,16563373,6519200000
24-06-2004,2042.7,2096.05,2030.2,2088.15,20801081,9010300000
25-06-2004,2075.75,2113.85,2074.4,2105.7,17117962,6927900000
28-06-2004,2111.55,2172.3,2111.55,2168.5,25888543,8688800000
29-06-2004,2173.55,2179.1,2133.65,2148.1,29092003,10665900000
30-06-2004,2147.85,2162.15,2109.6,2115.2,21005698,8118600000
01-07-2004,2118.05,2150.45,2096.45,2142.75,15784626,5926700000
02-07-2004,2141.45,2161.45,2110.25,2140.75,17381671,6174100000
05-07-2004,2144.7,2166.45,2129.25,2137.1,20078267,5690300000
06-07-2004,2133,2153.45,2114.1,2146.85,16435726,5391200000
07-07-2004,2138.9,2148.35,2082.3,2092.05,21208093,7558500000
08-07-2004,2092.05,2135.1,2031.1,2054.5,24109803,8924100000
09-07-2004,2027.75,2077.9,1967.45,2072.35,10924182,4396900000
12-07-2004,2074.4,2103,2063.55,2076.35,12494677,5016000000
13-07-2004,2098.6,2129.35,2075.45,2091.4,18279686,7326600000
14-07-2004,2093.85,2137.6,2093.85,2123.65,22533757,8022000000
15-07-2004,2133.75,2165.85,2124.75,2161.45,17846552,6128400000
16-07-2004,2164.95,2194,2151.95,2186.1,19935370,7283200000
19-07-2004,2186.3,2209.85,2177.9,2192.65,16977195,5669100000
20-07-2004,2190.5,2190.5,2155.35,2160.4,13892136,4874500000
21-07-2004,2161.45,2186.3,2149.05,2168.05,13534232,5175300000
22-07-2004,2186.55,2194.15,2158.6,2169.4,16896458,5748200000
23-07-2004,2182.4,2214.4,2178.55,2185.2,15715168,5486400000
26-07-2004,2176.8,2187.35,2155.7,2180.65,11182575,4078700000
27-07-2004,2192.6,2207.8,2168.6,2174.8,12775961,5167000000
28-07-2004,2178.1,2217.55,2178.1,2209.75,15026917,6314300000
29-07-2004,2212.25,2255,2203.35,2246.85,16405569,6347500000
30-07-2004,2252.95,2289,2249.5,2269.2,18077797,7059600000
