Id,Date,Open,High,Low,Close,Indices
1,03-Mar-21,1319.2,1347,1308,1343.55,INFY
2,04-Mar-21,1335,1363.85,1325.9,1330.35,INFY
3,05-Mar-21,1328.5,1340,1305.05,1316.7,INFY
4,08-Mar-21,1324.8,1346.1,1317.2,1335.75,INFY
5,09-Mar-21,1329.5,1350.45,1318.75,1345.55,INFY
6,10-Mar-21,1356.9,1374,1355,1368.15,INFY
7,12-Mar-21,1373,1391.7,1370.05,1374.85,INFY
8,15-Mar-21,1370,1379.9,1358.5,1373.6,INFY
9,16-Mar-21,1386.05,1406,1380.5,1384,INFY
10,17-Mar-21,1392.25,1400,1382,1387,INFY
11,18-Mar-21,1393.75,1393.75,1313.5,1337.1,INFY
12,19-Mar-21,1330,1355.2,1318,1344.45,INFY
13,22-Mar-21,1350.1,1376,1336.1,1370.8,INFY
14,23-Mar-21,1372.45,1383.25,1359.6,1371.55,INFY
15,24-Mar-21,1357.85,1370.45,1346.25,1353.75,INFY
16,25-Mar-21,1346.75,1352.5,1327.6,1333.8,INFY
17,26-Mar-21,1344.7,1356.7,1332,1336.2,INFY
18,30-Mar-21,1346.9,1400,1336.15,1385.3,INFY
19,31-Mar-21,1382,1388,1363.3,1368.05,INFY
20,01-Apr-21,1380,1391.6,1371,1385.2,INFY
21,05-Apr-21,1391,1425,1387,1409.9,INFY
22,06-Apr-21,1423,1426,1406.45,1411.05,INFY
23,07-Apr-21,1410.25,1434.95,1406.6,1430.2,INFY
24,08-Apr-21,1430,1451.7,1421,1439.85,INFY
25,09-Apr-21,1455,1455,1430.05,1441.05,INFY
26,12-Apr-21,1474,1477.55,1415,1425.75,INFY
27,13-Apr-21,1433,1435.25,1375,1397.15,INFY
28,15-Apr-21,1332.3,1366.4,1320,1360.75,INFY
29,16-Apr-21,1365,1370.85,1346.6,1353.75,INFY
30,19-Apr-21,1340,1379.7,1332.35,1362.55,INFY
31,20-Apr-21,1379,1379,1342.4,1351.35,INFY
32,22-Apr-21,1355.55,1364.8,1345.15,1351.1,INFY
33,23-Apr-21,1343,1348.4,1331,1333.8,INFY
34,26-Apr-21,1332.25,1351.3,1321,1343.55,INFY
35,27-Apr-21,1346,1353,1340.15,1348.5,INFY
36,28-Apr-21,1358,1359.5,1344.6,1356,INFY
37,29-Apr-21,1368,1369,1351.4,1356.35,INFY
38,30-Apr-21,1346.3,1373.9,1345.9,1354.35,INFY
39,03-May-21,1340.8,1361,1338,1352.05,INFY
40,04-May-21,1354,1354.95,1324.1,1329.4,INFY
41,05-May-21,1341.1,1343.9,1327.8,1341.5,INFY
42,06-May-21,1345,1364.7,1337.4,1361.6,INFY
43,07-May-21,1365.3,1373.05,1348.5,1352.55,INFY
44,10-May-21,1349.85,1352.9,1335.05,1339.55,INFY
45,11-May-21,1336.9,1341,1325.1,1330.65,INFY
46,12-May-21,1330,1330,1314.5,1327,INFY
47,14-May-21,1326.85,1326.85,1311.3,1316.4,INFY
48,17-May-21,1320.3,1334.95,1320.3,1329.4,INFY
49,18-May-21,1338,1344.6,1329.5,1340,INFY
50,19-May-21,1342,1357.45,1333.25,1337,INFY
51,20-May-21,1348.4,1349.1,1335,1339.3,INFY
52,21-May-21,1347.5,1357.5,1346.35,1354.5,INFY
53,24-May-21,1356.65,1363,1345.1,1348.05,INFY
54,25-May-21,1358,1368,1354.45,1361.6,INFY
55,26-May-21,1367.9,1400,1362.05,1397.25,INFY
56,27-May-21,1404.2,1416.25,1391.7,1402.25,INFY
57,28-May-21,1409.75,1414,1396.1,1405.05,INFY
58,31-May-21,1401.5,1401.5,1383,1393.75,INFY
59,01-Jun-21,1400,1401,1378.65,1387.2,INFY
60,02-Jun-21,1380.75,1391.95,1365,1378.65,INFY
61,03-Jun-21,1388.1,1399,1377.05,1389.65,INFY
62,04-Jun-21,1393.95,1396.9,1377.65,1385.65,INFY
63,07-Jun-21,1391,1392,1377.3,1389.65,INFY
64,08-Jun-21,1396,1421.75,1395.55,1412.95,INFY
65,09-Jun-21,1413.4,1425,1404.6,1415.3,INFY
66,10-Jun-21,1424,1429,1419,1424.3,INFY
67,11-Jun-21,1430.1,1451.6,1429.45,1446.9,INFY
68,14-Jun-21,1471,1477,1453.45,1461.8,INFY
69,15-Jun-21,1464,1476,1463,1473.9,INFY
70,16-Jun-21,1472.7,1489.45,1467.5,1480.6,INFY
71,17-Jun-21,1475.1,1502.65,1475.1,1495.3,INFY
72,18-Jun-21,1509,1515.8,1487.4,1503.3,INFY
73,21-Jun-21,1493,1505.8,1484.2,1500.3,INFY
74,22-Jun-21,1509.7,1521.45,1502.1,1511.85,INFY
75,23-Jun-21,1525,1525,1498.65,1503.15,INFY
76,24-Jun-21,1517,1568.75,1511.2,1559.2,INFY
77,25-Jun-21,1572,1578,1543,1574.2,INFY
78,28-Jun-21,1572.9,1580.15,1560.6,1571.8,INFY
79,29-Jun-21,1561,1573.65,1559.2,1563.05,INFY
80,30-Jun-21,1572.05,1591,1572.05,1580.8,INFY
81,01-Jul-21,1576.85,1576.85,1559.05,1560.4,INFY
82,02-Jul-21,1558.95,1569.45,1542.6,1567.8,INFY
83,05-Jul-21,1569.15,1585,1561.05,1578.95,INFY
84,06-Jul-21,1573.7,1586.75,1557.1,1562.2,INFY
85,07-Jul-21,1566.05,1570.55,1544.65,1564.6,INFY
86,08-Jul-21,1568,1576,1549,1560.75,INFY
87,09-Jul-21,1556,1569.9,1551,1562.9,INFY
88,12-Jul-21,1570.55,1578,1533.75,1547.85,INFY
89,13-Jul-21,1556.4,1556.4,1536.3,1544.95,INFY
90,14-Jul-21,1554,1582.8,1538.1,1576.9,INFY
91,15-Jul-21,1557.9,1596.85,1556,1580.8,INFY
92,16-Jul-21,1573.75,1574.65,1549.6,1555.45,INFY
93,19-Jul-21,1544.7,1552.9,1537.55,1541.7,INFY
94,20-Jul-21,1538.3,1557.7,1538,1550.05,INFY
95,22-Jul-21,1561.4,1592.85,1561.4,1590.2,INFY
96,23-Jul-21,1588.55,1598.5,1585.05,1590.45,INFY
97,26-Jul-21,1594.1,1611.65,1594.1,1603.9,INFY
98,27-Jul-21,1605,1609.3,1597.9,1602.55,INFY
99,28-Jul-21,1605.1,1607.6,1585.5,1605.6,INFY
100,29-Jul-21,1600.1,1620,1600.1,1617,INFY
101,30-Jul-21,1610,1623.4,1606.15,1610.5,INFY
102,02-Aug-21,1627.45,1634.75,1619.2,1631.55,INFY
103,03-Aug-21,1647,1658.65,1635.6,1655.2,INFY
104,04-Aug-21,1669.1,1679.9,1639.05,1649.25,INFY
105,05-Aug-21,1649.5,1666,1647.05,1653.55,INFY
106,06-Aug-21,1657,1660.65,1644,1650.2,INFY
107,09-Aug-21,1661,1667.45,1646.4,1663.3,INFY
108,10-Aug-21,1668,1680,1661.05,1677.25,INFY
109,11-Aug-21,1674.8,1684,1668,1677.55,INFY
110,12-Aug-21,1679.15,1696.5,1674,1689.6,INFY
