Id,Date,Open,High,Low,Close,Indices
1,02-Dec-22,234.95,236.55,231.25,232.75, TATAMTRDVR
2,05-Dec-22,233.6,233.7,227.7,230.55, TATAMTRDVR
3,06-Dec-22,230.5,234.5,229.4,231.85, TATAMTRDVR
4,07-Dec-22,232,233.25,226.25,227.35, TATAMTRDVR
5,08-Dec-22,228.35,228.35,226.05,226.6, TATAMTRDVR
6,09-Dec-22,227.75,228.75,220.1,221.75, TATAMTRDVR
7,12-Dec-22,221.7,224.75,218.15,221.15, TATAMTRDVR
8,13-Dec-22,223.8,227.75,222.9,223.95, TATAMTRDVR
9,14-Dec-22,225.2,226.15,222.25,223.35, TATAMTRDVR
10,15-Dec-22,224.35,225.3,222,222.5, TATAMTRDVR
11,16-Dec-22,222.2,223.9,217,218.8, TATAMTRDVR
12,19-Dec-22,220,220,217.5,218.55, TATAMTRDVR
13,20-Dec-22,218.55,218.95,214.1,215.95, TATAMTRDVR
14,21-Dec-22,216.95,218,206,208.05, TATAMTRDVR
15,22-Dec-22,209.1,210.1,200.9,203.6, TATAMTRDVR
16,23-Dec-22,199,200.3,190,192.4, TATAMTRDVR
17,26-Dec-22,193.45,204.5,192,201.8, TATAMTRDVR
18,27-Dec-22,205,209.9,205,208.3, TATAMTRDVR
19,28-Dec-22,208,209,206.6,207.5, TATAMTRDVR
20,29-Dec-22,207,207.9,201.85,205.15, TATAMTRDVR
21,30-Dec-22,207,209.9,203.05,205.65, TATAMTRDVR
22,02-Jan-23,207.5,212.5,207.15,210.2, TATAMTRDVR
23,03-Jan-23,211.1,212.9,209.55,212.45, TATAMTRDVR
24,04-Jan-23,212.3,212.5,207.6,208.2, TATAMTRDVR
25,05-Jan-23,208.25,211.5,204.05,207.45, TATAMTRDVR
26,06-Jan-23,207,210.75,204.4,205.15, TATAMTRDVR
27,09-Jan-23,206.95,210.55,206.6,209.6, TATAMTRDVR
28,10-Jan-23,215,223,215,217.45, TATAMTRDVR
29,11-Jan-23,218.15,221.45,217.4,219.8, TATAMTRDVR
30,12-Jan-23,220.9,221.4,213.65,215.05, TATAMTRDVR
31,13-Jan-23,215.45,215.5,210.6,214.1, TATAMTRDVR
32,16-Jan-23,215,216.45,211.9,213.9, TATAMTRDVR
33,17-Jan-23,212.9,217.45,212.15,213.2, TATAMTRDVR
34,18-Jan-23,213.4,214.25,211.8,212.05, TATAMTRDVR
35,19-Jan-23,211.55,214.5,209.7,212.2, TATAMTRDVR
36,20-Jan-23,213.4,216.15,210.8,211.8, TATAMTRDVR
37,23-Jan-23,213.55,213.95,211.2,211.9, TATAMTRDVR
38,24-Jan-23,213,218.85,212.5,217.35, TATAMTRDVR
39,25-Jan-23,218,220,210,215.3, TATAMTRDVR
40,27-Jan-23,225,232.5,221.05,225.15, TATAMTRDVR
41,30-Jan-23,224.7,227.4,220.5,223.5, TATAMTRDVR
42,31-Jan-23,224.05,232.5,222.1,230.75, TATAMTRDVR
43,01-Feb-23,232.5,233.6,221.25,225, TATAMTRDVR
44,02-Feb-23,226.7,227,222.05,226.4, TATAMTRDVR
45,03-Feb-23,227.55,228.35,221.9,223.8, TATAMTRDVR
46,06-Feb-23,223.8,226,221.8,225.15, TATAMTRDVR
47,07-Feb-23,224.8,225,220.1,221.7, TATAMTRDVR
48,08-Feb-23,222.2,223,220.1,222, TATAMTRDVR
49,09-Feb-23,221.4,223.4,220.25,221.4, TATAMTRDVR
50,10-Feb-23,220.9,226,219.65,224.6, TATAMTRDVR
51,13-Feb-23,224.15,226.3,221.7,222.15, TATAMTRDVR
52,14-Feb-23,222.5,224.6,220.3,222.15, TATAMTRDVR
53,15-Feb-23,221.15,224.7,221,224.05, TATAMTRDVR
54,16-Feb-23,224.95,226.25,221.3,221.95, TATAMTRDVR
55,17-Feb-23,221,223.5,220.45,221.55, TATAMTRDVR
56,20-Feb-23,221.6,223.5,220.1,221.85, TATAMTRDVR
57,21-Feb-23,223.35,223.9,219.05,219.85, TATAMTRDVR
58,22-Feb-23,219.4,219.55,215.2,216.6, TATAMTRDVR
59,23-Feb-23,216,223.25,215.3,222.1, TATAMTRDVR
60,24-Feb-23,222.95,223.2,217.8,222.25, TATAMTRDVR
61,27-Feb-23,222.25,222.25,213.2,217.5, TATAMTRDVR
62,28-Feb-23,217.5,221.9,215.55,219.85, TATAMTRDVR
63,01-Mar-23,219.8,223.9,219,221.35, TATAMTRDVR
